age,gender,height,current_weight,target_weight,activity_level,sports_days,sleep_hours,Avg_Caloric_Intake,water_intake,night_eating,stress_level,commitment,motivation,success
49,1,192,123,118,1,1,6.3,2881,3.3,1,9,5,8,0
55,0,163,89,69,2,2,8.5,2429,2.5,1,2,8,9,1
22,1,159,65,41,3,3,6.8,2371,2.2,1,3,9,5,0
64,1,168,82,70,1,0,7.0,1909,3.8,0,6,7,1,1
39,1,184,133,112,1,0,6.7,3397,2.8,0,8,5,6,0
64,1,180,106,96,3,1,7.4,3153,4.3,1,7,8,4,0
51,1,171,95,89,3,2,5.1,2674,4.4,1,8,9,6,0
18,0,193,138,121,3,1,6.9,4026,2.1,1,5,9,1,0
43,1,184,126,114,4,4,6.0,3799,3.2,0,9,9,4,1
60,1,157,94,81,4,5,7.1,3147,3.1,0,6,2,5,1
27,1,184,133,116,2,3,6.3,3585,4.1,0,10,3,6,0
47,1,155,70,48,2,1,6.7,2083,3.6,0,2,2,5,0
35,0,181,85,63,3,3,7.2,2607,3.3,0,6,5,2,1
34,1,163,84,71,2,1,8.2,2533,3.5,0,4,3,3,0
43,0,182,132,126,2,3,8.2,3635,2.7,0,5,9,5,1
25,1,167,73,65,4,5,8.3,3208,4.4,1,5,2,7,1
64,1,189,125,103,3,3,8.4,3460,1.7,1,1,5,4,0
57,0,168,104,83,2,1,5.5,2840,1.6,0,10,5,6,0
29,0,179,107,91,3,3,7.5,3089,2.7,1,5,5,9,1
44,0,166,81,61,2,2,5.3,2439,2.0,0,10,1,10,0
25,1,191,112,95,4,4,5.6,2980,3.1,0,9,10,7,1
42,0,186,90,75,3,2,6.5,2704,1.5,0,8,7,3,0
63,1,164,81,63,2,1,6.3,2821,2.9,1,8,2,5,0
21,0,192,95,81,1,1,8.2,2282,2.4,0,3,2,9,1
50,0,169,107,84,4,6,6.2,2968,2.1,0,9,9,5,1
18,1,181,132,111,1,1,6.7,3224,2.8,0,9,1,3,0
36,0,184,122,109,3,2,6.8,3478,4.1,0,10,9,8,1
48,0,155,87,69,4,4,7.1,2715,3.5,1,7,6,7,1
33,1,193,123,114,4,6,6.8,3913,2.0,1,6,5,5,1
31,1,168,78,71,2,3,6.9,1773,3.0,1,9,5,5,1
22,1,162,66,54,3,1,7.5,2289,4.3,1,6,5,1,0
58,0,189,110,88,1,0,8.1,2685,2.8,1,3,6,8,0
43,0,183,126,119,1,0,7.4,3078,2.9,0,6,7,6,1
45,0,158,103,97,1,0,7.6,2332,4.3,1,2,9,5,0
19,0,159,82,67,4,6,7.6,2892,1.9,1,2,2,7,0
23,0,183,105,96,1,0,6.9,2585,3.7,1,7,4,2,0
26,1,157,81,70,4,6,5.7,1995,2.4,1,8,5,3,1
50,0,191,118,100,1,0,8.4,2863,4.1,1,7,6,9,0
58,1,184,121,98,2,3,8.4,3263,1.7,1,5,7,5,1
42,0,168,106,100,3,1,7.5,2725,4.5,0,4,3,6,1
30,1,169,110,97,3,3,6.7,3020,3.8,1,8,3,8,0
26,0,175,110,96,2,3,6.9,3020,2.4,0,9,9,3,0
30,0,169,93,70,2,3,7.6,2276,3.8,1,7,9,1,1
48,1,186,142,121,4,5,7.1,4108,4.3,0,1,2,4,1
58,0,193,139,128,3,2,6.5,3964,1.8,0,4,4,2,0
28,1,178,102,80,1,1,8.0,2473,4.2,0,4,4,9,1
21,0,172,97,87,2,3,6.1,2573,2.6,1,10,5,4,0
51,0,163,104,91,2,1,6.7,3245,1.5,0,3,2,9,0
55,1,181,106,94,4,5,8.2,3153,1.8,1,4,4,7,0
63,0,182,112,99,4,4,6.9,3254,4.2,0,9,3,7,0
21,1,182,99,94,3,2,7.4,3016,4.4,0,1,6,1,0
55,0,156,95,89,1,0,6.7,2411,4.2,1,2,4,2,0
36,0,190,123,115,2,3,7.4,3385,2.8,0,7,1,7,0
23,0,168,97,73,2,2,6.7,2404,4.4,1,9,3,5,0
51,0,184,136,114,4,6,7.8,3980,2.7,0,7,8,7,1
35,0,185,139,125,1,1,8.2,3298,1.8,1,1,3,3,0
30,0,181,127,122,2,2,6.9,3363,2.5,0,7,7,8,1
58,0,170,76,62,3,2,7.7,2076,4.5,0,6,2,4,0
40,1,179,104,91,4,6,7.0,3328,3.4,0,1,5,8,1
36,0,156,75,58,4,4,7.8,2646,2.5,0,1,7,6,1
62,0,185,98,79,3,3,7.8,2599,3.4,0,2,1,9,1
28,0,158,102,80,4,6,7.8,3479,2.8,0,6,1,6,1
18,1,170,117,100,4,4,8.0,3634,1.6,0,4,8,4,1
41,1,159,83,74,1,0,6.5,2042,2.1,0,4,2,3,1
24,0,188,96,90,3,2,6.7,2675,1.6,0,6,4,4,0
42,0,177,79,68,2,1,5.7,2013,2.3,1,9,3,7,0
38,0,182,108,95,4,6,7.2,3158,3.7,1,1,5,8,1
32,1,182,85,62,3,3,6.8,2657,2.1,1,2,2,2,0
18,0,188,125,107,1,0,6.9,2776,3.1,0,8,6,9,1
29,1,160,90,69,3,2,5.5,2542,3.6,0,8,8,7,1
24,0,181,132,108,2,3,6.5,3514,3.1,0,6,5,7,1
32,1,178,89,65,2,3,8.0,2711,1.5,1,6,7,10,1
38,1,156,76,61,4,6,5.7,2746,2.6,1,8,5,4,0
36,0,163,105,96,3,3,7.7,2964,2.8,1,2,6,7,1
46,0,165,90,74,4,6,7.4,3203,2.5,0,2,9,2,1
42,0,157,64,51,1,0,8.1,1683,3.1,0,1,10,10,1
50,0,169,76,55,1,1,7.0,1545,3.0,0,6,1,3,1
49,0,156,94,82,4,4,8.0,3015,2.1,1,6,10,2,1
52,0,177,118,106,3,3,6.6,3593,3.8,1,6,9,5,1
61,0,163,106,90,1,0,7.7,2740,2.0,1,2,3,1,0
55,1,166,74,51,2,1,7.7,2171,2.9,1,7,10,2,0
43,0,191,138,124,4,4,7.4,4485,3.8,0,3,3,6,1
28,0,175,110,104,1,0,7.5,2578,3.6,0,1,4,6,1
52,1,165,79,67,3,2,8.2,2127,2.8,0,1,8,8,1
25,0,178,133,115,2,3,6.0,3339,3.9,1,9,1,9,0
63,0,163,92,69,4,6,8.2,2758,3.6,0,3,4,9,1
31,0,157,100,92,2,2,6.0,2699,2.7,1,8,7,7,0
27,0,155,96,83,4,6,7.0,3412,4.2,1,10,3,10,1
19,1,193,114,97,4,5,7.6,3564,1.9,1,7,7,1,0
63,1,183,115,102,3,3,6.9,3622,2.6,0,2,5,4,1
26,0,186,113,96,1,1,7.4,2469,3.6,0,2,10,7,1
20,0,194,139,119,1,0,7.1,3434,4.1,0,4,9,2,1
38,1,192,129,124,4,5,8.3,3750,2.5,0,2,8,9,1
43,0,184,130,118,2,1,7.4,3407,3.2,0,5,3,1,0
25,1,182,84,71,2,1,6.8,1890,1.5,0,10,4,9,1
19,1,168,104,87,3,1,7.4,2620,2.6,0,7,7,7,1
23,1,159,77,56,1,1,6.7,2031,2.5,1,2,2,10,1
45,0,177,91,78,2,3,6.2,2787,4.0,0,9,10,6,1
46,0,178,122,111,1,0,7.5,2898,1.7,0,1,6,7,1
43,0,193,98,74,3,1,6.8,2861,1.7,0,2,9,2,0
42,1,172,86,72,4,6,7.7,3027,2.8,0,7,9,10,1
29,0,182,94,85,2,3,6.5,2515,2.7,1,5,6,2,0
22,0,177,101,80,3,2,7.9,2777,2.0,0,1,6,3,0
51,1,162,80,74,1,0,7.0,2106,2.3,1,4,6,6,0
54,0,178,118,105,1,0,5.6,3012,4.4,1,8,10,1,0
32,0,176,115,109,4,6,6.7,3424,3.0,0,5,6,4,1
61,0,174,93,79,4,5,8.1,2899,1.8,0,2,3,8,0
53,1,175,99,83,2,2,6.6,2759,1.6,0,9,4,8,0
32,0,161,74,68,2,2,8.2,2022,1.6,0,1,6,5,1
60,1,173,109,90,3,1,7.6,3282,2.7,0,1,10,7,1
40,1,179,101,94,2,1,6.8,2341,4.1,1,10,1,5,1
23,1,174,83,77,4,6,8.1,2901,4.0,0,5,1,4,1
63,0,174,82,71,1,0,5.3,2046,2.6,0,9,7,6,1
61,0,158,76,63,4,6,7.4,2592,3.8,1,6,1,8,1
60,0,162,99,84,2,3,7.0,2603,3.8,1,5,5,10,1
62,1,167,71,51,1,0,7.3,1562,2.9,1,6,10,1,1
38,1,171,86,75,4,5,7.9,2897,2.7,1,6,8,3,1
40,0,178,88,71,2,3,6.0,2184,2.0,0,9,6,4,1
60,1,189,148,141,4,5,5.5,4332,2.3,0,9,3,5,0
33,0,161,96,81,4,5,8.1,2735,2.5,0,5,2,1,0
64,0,155,70,63,4,6,7.1,2238,3.9,0,4,2,9,1
32,0,172,85,66,4,6,7.8,2840,3.2,1,1,4,8,1
42,0,172,117,105,4,4,8.5,3669,2.1,0,6,9,2,1
53,0,177,88,77,4,4,6.8,3014,1.8,1,7,9,5,0
28,0,188,148,139,4,6,6.9,4448,3.0,1,7,1,9,0
32,0,187,104,94,4,4,7.4,3233,3.5,0,1,5,3,1
21,1,159,66,43,3,1,6.8,1667,4.0,0,6,9,5,1
38,0,192,135,128,4,6,6.2,4161,3.9,0,8,4,9,1
30,1,159,89,74,4,4,7.8,2399,4.0,0,3,7,6,1
39,1,180,136,126,3,3,6.9,3557,2.8,0,1,6,5,0
36,0,181,127,109,1,1,7.0,3181,4.1,1,7,4,8,0
51,1,182,107,86,3,3,7.8,3236,2.8,1,4,10,5,0
31,1,165,100,93,2,2,6.7,2540,2.0,0,5,7,9,1
21,1,168,110,102,1,0,6.8,3039,2.7,0,2,7,3,0
63,0,176,105,92,2,1,7.0,2878,2.5,0,7,2,1,0
44,0,162,78,61,1,0,6.7,1849,2.7,1,1,7,4,1
46,0,155,69,59,4,6,8.5,2817,3.5,1,4,9,7,1
64,0,177,94,80,1,1,6.8,2210,3.5,0,8,6,3,1
45,0,173,118,94,4,5,8.0,3804,2.2,0,7,6,10,1
52,1,181,103,79,1,0,7.9,2126,2.4,0,7,6,8,1
25,1,160,77,60,4,4,7.5,2838,3.3,1,7,2,2,0
33,0,188,137,119,3,3,6.7,3821,1.8,0,5,6,9,0
59,1,160,66,50,3,1,7.3,1896,3.6,1,10,6,3,0
53,1,190,127,110,3,2,8.0,3375,2.0,0,3,9,6,1
47,1,172,119,105,1,1,5.9,2820,4.1,0,10,2,7,0
35,1,176,100,89,4,5,7.2,3151,2.7,0,7,9,5,1
19,0,190,107,98,4,6,6.3,3481,2.2,0,8,5,10,1
30,0,166,93,77,4,5,7.2,2741,3.5,0,7,9,5,1
21,0,162,97,91,3,3,7.5,2968,3.2,1,6,10,1,1
43,1,172,100,88,3,2,5.2,2936,2.0,1,9,10,4,0
42,1,164,68,56,1,0,7.0,1567,4.0,1,6,2,1,1
47,0,176,81,58,3,1,7.3,2274,2.9,1,5,5,9,0
28,0,166,102,93,1,0,7.1,2276,2.0,0,6,2,9,1
24,1,189,114,102,3,1,5.4,3443,3.9,1,10,5,5,0
48,0,179,123,109,1,0,7.3,2835,1.9,0,4,7,5,1
61,0,155,86,69,1,0,7.4,2351,4.4,0,6,7,5,1
27,1,187,122,109,1,0,7.5,2826,2.8,0,4,7,7,1
56,1,168,114,103,3,2,7.5,3255,3.7,0,5,5,6,1
30,0,167,71,47,1,0,8.2,1729,2.9,0,6,7,2,1
48,1,170,80,56,1,1,7.2,2131,2.1,0,1,6,10,1
24,0,180,115,92,2,2,6.5,3312,3.8,0,6,7,3,0
59,1,172,77,62,2,1,7.0,2253,2.4,1,6,5,5,1
59,1,180,116,104,1,0,7.6,2223,3.5,1,1,2,7,1
53,0,160,107,87,1,1,8.1,2973,2.3,1,7,9,2,0
37,1,193,150,136,3,3,5.1,3862,2.2,1,10,2,4,0
21,0,184,118,108,4,5,6.7,3272,2.9,0,5,3,1,0
24,1,165,109,95,3,2,7.3,2928,3.9,1,8,9,7,0
18,0,183,91,77,1,1,7.5,1819,3.3,0,5,2,2,1
61,1,178,103,80,3,3,5.2,3451,1.7,1,10,8,8,0
62,1,159,82,74,3,2,6.9,2659,3.7,0,5,3,10,1
59,0,162,80,57,1,0,6.8,1950,3.2,1,2,6,1,1
64,1,156,61,54,3,2,8.0,1883,3.4,1,4,9,2,0
30,0,187,140,119,4,5,7.9,3846,2.6,0,4,10,8,1
39,1,177,119,101,2,2,5.4,2794,3.2,1,10,10,5,0
38,1,167,101,87,4,6,6.7,3075,2.6,0,10,3,5,0
39,0,160,69,59,3,1,6.9,2346,1.7,0,8,9,7,0
45,1,174,95,75,3,2,7.5,2776,4.0,0,3,7,4,1
26,1,176,126,113,4,5,6.7,3524,3.5,1,1,5,9,1
43,0,183,118,102,1,0,8.5,2783,3.5,0,7,8,3,0
26,1,193,132,116,3,3,6.0,3902,2.1,1,9,6,8,0
32,0,172,120,102,4,5,6.7,3768,3.5,1,6,7,3,0
27,0,171,101,95,2,3,7.1,2852,2.2,1,2,3,8,1
41,0,169,101,87,1,0,7.1,2452,3.6,1,2,10,1,0
59,1,188,109,101,2,2,8.1,2672,2.5,1,1,6,10,0
25,1,161,81,71,3,3,7.0,2264,2.0,1,6,3,10,1
41,0,168,104,87,4,6,6.7,3262,4.2,1,8,7,7,1
33,1,183,103,85,1,1,7.4,2593,1.8,1,1,10,1,0
43,0,155,83,75,1,0,6.9,1892,3.8,0,1,6,2,1
44,1,166,82,68,1,1,6.8,1937,1.8,1,1,10,1,1
54,0,180,90,76,2,2,6.9,2365,3.6,0,10,8,10,1
21,0,162,86,77,1,0,7.2,1666,1.8,1,5,8,3,1
41,1,167,80,72,4,6,8.5,2665,3.0,1,7,6,9,1
36,0,174,122,106,3,2,6.6,3293,2.1,1,4,2,1,0
53,0,171,89,71,4,4,8.0,2838,4.1,1,1,10,3,1
56,1,159,89,78,1,1,7.1,2176,2.7,1,1,10,2,0
27,0,192,109,103,1,1,6.6,2622,1.5,0,10,6,5,1
42,0,156,72,54,4,4,6.8,2668,3.4,0,3,1,7,1
35,1,184,105,91,3,2,8.4,2826,2.8,1,5,6,6,0
36,0,157,101,81,4,4,7.0,3243,4.1,1,5,6,10,1
53,0,173,95,88,1,1,6.0,2134,2.8,0,9,6,5,1
27,0,162,102,90,1,0,5.3,2277,2.7,0,9,9,3,1
50,0,160,73,52,2,3,6.0,2160,2.9,1,9,4,7,0
22,0,160,66,58,3,3,6.2,2080,4.1,1,8,7,9,1
64,0,173,114,91,3,2,6.1,3031,3.3,0,9,3,2,0
52,0,175,105,86,1,1,5.6,2722,3.5,0,8,8,6,0
61,0,160,86,62,2,2,5.4,2227,3.7,0,8,2,5,0
51,1,194,111,97,2,2,5.6,2820,4.3,1,8,2,9,0
50,0,165,71,57,2,1,5.1,1977,4.0,1,8,5,8,1
38,0,173,99,83,2,1,7.1,2468,4.3,1,5,1,9,0
34,1,163,106,93,4,6,5.2,3622,2.5,0,10,1,7,0
39,0,174,82,63,2,3,7.9,2391,2.1,1,3,3,5,0
54,0,185,139,117,3,2,7.8,3463,2.1,1,4,6,4,0
32,0,175,91,67,4,5,6.9,2693,4.1,1,9,10,8,1
52,0,166,94,89,1,1,6.7,2326,4.0,1,7,6,2,0
45,0,164,71,64,3,3,6.9,1979,3.5,1,9,8,1,1
24,0,185,110,98,4,5,8.4,3362,1.7,0,7,7,3,1
49,1,159,69,58,3,3,5.3,2048,2.5,0,8,1,7,0
28,1,169,74,55,4,5,7.9,2886,3.7,1,3,1,1,0
27,1,161,107,95,3,3,6.6,2888,2.2,1,8,4,5,0
26,1,165,102,83,2,1,8.3,2707,3.4,1,4,1,5,0
31,1,161,96,87,2,3,6.6,2319,3.1,0,6,1,3,0
30,0,190,96,80,3,2,8.2,2737,2.3,1,1,10,1,0
42,0,184,138,122,3,3,6.9,3844,4.3,0,2,1,5,0
19,0,177,103,90,1,0,8.1,2126,2.3,0,7,3,8,1
52,0,163,106,93,2,2,7.1,3106,4.2,1,6,10,9,1
24,0,175,77,58,1,0,5.4,1803,3.1,1,10,2,6,1
38,1,175,92,73,1,1,8.0,1984,1.8,1,5,10,1,1
35,1,178,133,109,2,1,7.2,3245,4.0,1,7,8,5,0
20,0,157,79,63,1,1,7.1,1860,3.9,1,2,7,2,1
59,0,193,150,141,2,1,7.2,4187,4.0,1,10,10,1,1
56,0,173,92,87,1,0,7.6,2140,3.4,0,4,8,3,1
58,1,192,125,102,4,5,8.1,3584,3.6,0,5,4,10,1
28,1,155,95,80,1,0,7.1,2350,4.2,1,8,9,5,1
56,0,164,95,73,4,4,7.2,3181,1.9,0,6,5,9,1
41,1,159,94,84,2,1,7.5,2328,1.7,0,6,7,7,1
63,0,185,99,78,3,2,6.5,3215,1.9,1,5,4,6,0
36,1,167,77,59,4,4,6.4,2945,4.1,1,10,1,9,0
21,1,188,102,86,3,1,6.5,3196,3.2,1,5,8,6,0
43,0,188,118,109,3,3,6.5,3310,2.0,0,1,9,4,1
55,1,181,127,116,3,2,7.5,3559,1.9,0,4,9,7,1
59,1,181,102,82,2,1,6.1,2920,2.8,0,9,10,2,0
49,0,183,115,102,4,4,8.2,3228,3.9,1,2,8,2,1
56,1,181,128,109,1,1,7.9,3376,3.9,1,6,1,6,0
62,0,170,84,76,2,3,8.4,2650,4.1,1,2,3,5,1
63,1,182,132,108,2,1,6.4,3321,3.8,1,9,5,6,0
53,0,190,150,139,2,1,8.2,3978,1.7,1,5,7,2,0
57,0,168,72,54,1,0,6.9,1796,3.7,0,9,8,2,1
54,1,192,96,88,4,4,6.1,2933,3.1,0,10,1,1,0
50,1,155,64,56,3,2,6.8,1940,3.7,0,5,5,2,0
53,0,168,109,91,2,3,7.0,3081,3.0,0,9,3,10,0
20,1,160,72,61,4,4,7.1,2801,3.0,0,2,7,7,1
26,1,160,95,76,4,4,6.7,2922,1.9,0,7,6,2,0
25,1,187,114,98,2,3,5.5,3292,4.2,1,8,1,3,0
50,0,191,144,126,1,0,8.1,3482,2.6,1,3,2,6,0
23,0,186,134,117,1,0,8.3,3323,3.2,0,1,5,6,1
58,0,194,155,132,2,2,8.4,3756,2.1,0,2,5,10,0
56,1,163,78,62,4,4,5.7,2742,2.6,0,10,1,9,0
21,1,160,74,54,1,1,7.0,1456,4.1,1,5,4,2,1
30,0,175,78,58,2,3,7.0,2105,2.1,0,9,9,7,1
19,0,188,113,108,2,1,7.5,2703,2.1,0,5,9,1,1
22,1,156,80,61,2,1,7.0,2164,2.3,1,1,5,6,1
61,1,194,157,148,1,1,7.7,4056,3.2,1,1,7,9,1
44,1,179,125,115,3,2,6.5,3585,3.1,0,2,2,8,1
49,1,194,104,83,2,1,8.3,2774,2.0,0,1,1,6,0
38,0,169,110,95,4,6,6.6,3568,3.6,1,8,2,6,0
25,1,173,84,76,2,3,8.4,2006,4.2,1,2,4,6,1
55,1,185,90,68,2,1,5.6,2605,2.1,0,8,6,8,0
25,0,186,136,112,2,3,7.4,3531,3.5,0,5,3,2,1
20,0,164,112,94,4,4,7.9,3044,3.3,0,1,2,9,1
61,1,192,97,84,2,1,7.4,2778,2.5,0,4,7,10,1
20,0,189,139,132,4,6,8.2,3690,3.4,0,2,8,8,1
39,1,155,96,89,3,2,8.1,2754,2.1,1,6,9,2,0
23,1,160,69,54,2,2,8.3,1763,4.0,0,5,10,8,1
19,0,174,91,67,1,0,7.1,2411,1.6,0,9,8,1,0
40,0,173,112,103,3,3,7.4,2953,3.2,0,3,2,6,1
61,1,183,130,122,4,5,7.6,3577,2.5,0,5,3,6,1
19,0,158,78,62,4,5,6.7,2865,4.1,1,10,1,9,0
55,1,180,90,74,4,6,7.1,2515,3.0,1,7,1,9,0
34,1,179,116,108,2,2,6.0,3353,3.9,0,9,6,5,0
52,1,164,99,92,3,1,7.8,2761,4.3,1,3,3,1,0
51,0,176,104,98,4,6,7.8,3160,2.5,1,4,4,1,0
40,1,163,73,65,2,1,8.1,2036,4.1,1,1,10,7,1
47,1,160,101,93,4,4,7.2,2683,3.7,1,2,8,4,1
25,1,177,113,102,3,3,7.2,3307,1.8,1,3,5,9,0
39,0,194,149,143,2,3,5.9,3887,1.8,1,10,6,3,0
61,1,164,110,95,1,0,8.0,3008,4.0,0,7,9,6,1
53,1,169,110,101,2,3,8.3,3396,2.9,0,7,2,9,1
22,1,165,112,95,3,2,7.0,3039,3.0,0,1,3,4,0
30,0,165,113,105,1,0,6.2,2640,4.2,1,9,5,5,0
46,1,171,104,91,4,5,7.4,3024,4.2,0,3,2,5,1
48,1,183,125,114,3,1,8.3,3739,1.8,0,3,8,5,1
64,0,156,90,73,4,5,7.3,2925,2.6,1,2,2,2,0
33,0,193,132,118,3,1,6.9,3753,4.2,1,3,4,2,0
59,1,156,62,51,4,4,6.9,2298,4.0,1,6,3,1,0
47,1,190,112,90,2,1,6.8,2967,3.7,1,10,4,1,0
33,1,190,97,75,1,0,7.6,2595,1.8,1,4,4,4,0
29,0,175,93,87,2,2,8.3,2557,3.4,1,2,6,3,0
34,0,160,67,62,3,2,6.8,2155,3.2,0,8,10,4,1
33,1,177,128,111,1,0,6.6,2838,2.0,0,1,10,6,1
29,0,180,106,100,2,3,6.3,2920,3.8,1,10,10,1,0
25,1,189,101,93,3,2,6.3,2918,2.4,0,8,9,8,0
37,1,177,109,96,1,0,8.0,2525,3.4,1,2,3,8,0
20,0,171,83,71,2,1,6.8,2044,2.6,1,9,1,7,0
33,1,188,137,115,4,6,6.8,3768,1.8,1,4,8,4,0
47,0,194,113,93,1,0,7.7,2495,3.1,0,4,7,8,1
62,0,180,99,91,4,4,7.4,3052,2.4,0,7,2,9,1
40,1,189,143,135,1,0,8.2,3320,1.7,1,3,5,5,0
45,0,178,110,88,2,1,6.8,2921,2.1,1,10,10,6,0
57,1,182,133,127,3,2,8.1,3656,3.4,0,3,4,10,1
22,0,182,106,91,2,2,6.5,2892,1.8,1,4,9,8,0
37,1,183,103,79,2,3,6.0,2658,1.8,1,10,4,5,0
57,1,167,94,86,1,0,7.2,2070,4.3,1,3,5,4,1
61,1,178,82,64,4,6,5.4,2431,1.8,1,10,8,8,0
18,0,178,88,67,2,2,6.2,2250,2.6,1,8,3,3,0
47,1,167,80,68,4,5,7.3,2449,1.9,0,9,6,6,1
38,0,168,111,106,1,0,8.1,2270,4.3,1,5,6,9,1
37,0,185,128,105,3,2,8.1,3684,2.9,1,3,7,6,0
23,0,178,89,66,1,1,6.9,1798,1.8,0,7,9,9,1
39,0,160,76,65,4,6,7.2,2435,3.8,0,3,3,8,1
35,0,188,145,140,4,4,8.1,4269,3.8,0,6,5,9,1
25,1,190,95,90,4,6,7.6,2888,4.2,1,4,5,10,1
56,0,173,103,89,2,2,7.9,3218,3.6,1,7,5,9,1
49,1,163,90,73,4,4,8.0,2765,1.7,1,6,6,8,0
50,1,192,138,129,4,5,6.6,4088,3.2,1,7,1,9,1
33,0,190,106,90,2,3,6.6,2878,2.7,0,4,9,7,1
29,1,164,111,104,4,5,6.7,3832,3.7,1,6,3,7,0
55,1,158,80,57,2,1,6.3,2459,3.3,1,10,6,4,0
51,0,172,88,80,3,2,8.3,2932,3.7,0,7,4,1,0
31,1,182,101,82,2,2,5.5,2963,2.0,1,10,7,7,0
53,0,162,81,64,2,2,6.6,2669,2.8,0,8,8,8,1
50,0,175,87,72,4,4,6.5,2937,2.8,0,10,4,9,0
40,0,172,120,114,1,0,5.9,2807,4.4,0,9,10,1,0
62,1,190,101,88,2,2,7.8,2864,1.6,0,3,6,9,1
19,1,172,118,102,1,1,7.8,2637,3.9,0,5,10,7,1
58,1,176,99,91,3,3,6.9,3066,1.8,0,10,7,7,1
38,1,193,110,87,2,3,7.9,2862,1.7,1,3,10,3,1
19,0,166,79,65,4,6,6.6,2477,2.5,1,5,7,1,0
44,0,166,93,78,3,2,7.8,2569,3.6,1,2,9,7,1
26,1,186,127,116,2,1,7.8,3379,3.5,0,3,8,10,1
18,0,166,111,94,2,2,8.2,2825,3.4,1,7,3,8,0
28,1,188,127,114,4,6,5.9,3534,3.8,1,8,4,6,0
20,0,158,83,67,4,5,7.3,2703,2.2,0,5,9,7,1
40,0,159,65,59,4,5,6.9,2142,3.4,1,3,7,9,1
43,0,191,148,143,2,3,7.2,3842,3.4,0,4,7,8,1
21,0,176,125,114,1,0,8.0,3192,3.5,1,3,1,5,0
35,0,183,106,101,4,4,8.1,3176,3.3,0,3,2,4,1
23,1,164,68,48,1,0,6.0,1731,2.2,0,9,1,4,0
52,1,161,97,89,4,4,6.7,3091,4.2,0,4,4,4,1
39,0,188,136,124,1,0,8.3,2950,4.4,1,6,4,2,0
60,1,169,98,77,2,1,7.4,2321,3.6,0,3,5,10,1
32,0,173,95,72,2,1,5.5,2283,2.8,1,8,5,10,0
39,0,156,96,88,2,1,6.7,3009,3.1,0,4,1,7,0
54,0,170,82,74,1,0,7.3,2186,1.8,1,8,7,8,0
59,0,185,112,100,1,1,6.9,2544,2.6,1,2,6,7,0
29,1,187,89,75,3,3,6.3,2888,4.4,1,9,8,10,1
64,0,182,93,73,4,4,7.1,2902,3.1,1,2,4,8,1
59,1,182,136,113,1,0,7.2,3281,3.2,0,3,1,9,0
55,0,175,106,101,4,6,6.7,3353,4.4,0,3,3,8,1
35,0,176,120,111,3,3,8.3,3658,4.2,1,5,9,5,1
62,1,184,113,107,3,1,7.2,3494,3.2,1,3,10,4,1
52,0,164,106,86,1,0,5.6,2921,2.3,0,8,7,5,0
47,0,164,92,75,2,3,6.7,2259,1.9,0,10,2,1,0
41,1,192,93,83,1,1,7.7,2351,4.1,0,7,3,5,1
59,1,156,98,90,3,1,8.4,2944,4.3,0,1,2,6,1
47,1,160,70,59,2,2,7.3,1777,3.0,1,6,4,9,1
31,0,177,103,97,1,0,8.2,2614,1.8,1,2,2,9,0
23,0,184,112,98,2,3,7.3,3170,3.3,0,8,4,10,1
20,1,176,80,62,3,2,7.4,2634,2.6,1,10,7,3,0
33,1,169,74,62,1,0,5.2,1946,2.0,1,8,8,8,1
24,0,194,143,136,2,3,8.0,3417,4.3,1,7,10,8,1
31,0,183,100,93,3,2,7.3,2979,2.2,0,8,6,9,1
26,1,188,113,107,1,0,7.8,2562,3.6,1,1,9,1,1
32,1,156,84,63,1,1,6.6,1909,2.8,1,8,6,5,1
38,1,164,84,61,2,3,8.0,2053,4.0,1,1,3,5,1
52,1,169,110,96,2,2,7.1,3052,3.6,1,3,1,7,0
19,0,162,105,89,2,2,7.6,2811,1.9,0,4,9,8,1
44,0,157,64,49,1,1,7.3,1134,2.8,1,3,3,7,1
19,0,164,96,83,2,2,6.5,2651,2.3,0,2,1,6,0
52,0,176,94,77,2,3,7.2,2507,3.6,1,3,2,4,0
35,1,182,116,106,4,5,5.5,3819,3.1,1,9,3,9,0
31,0,185,114,96,2,1,7.8,3141,2.5,1,2,8,2,0
37,1,156,75,60,1,1,6.9,1808,2.5,1,5,8,6,1
35,0,172,78,69,1,0,7.6,1700,1.8,1,3,2,10,1
27,0,159,88,82,4,4,6.8,2929,2.1,1,9,6,6,0
42,0,172,79,68,3,3,7.2,2439,3.6,1,7,2,4,0
19,1,172,82,61,1,0,6.3,2019,3.3,1,10,7,3,1
42,0,174,127,117,4,6,8.2,4031,2.6,0,3,10,3,1
50,1,190,110,92,1,0,7.8,2792,4.0,1,2,3,2,0
53,1,187,122,114,2,3,8.1,3302,3.0,0,2,8,3,1
48,0,180,96,89,2,1,7.5,2655,3.9,0,5,3,4,0
31,1,190,143,128,1,0,6.1,3309,3.8,1,9,10,10,0
18,0,182,98,93,4,6,6.8,3155,4.0,0,2,6,4,1
63,1,187,110,92,1,0,7.5,2834,4.0,1,2,1,10,0
33,0,177,111,101,2,3,6.7,2820,3.5,0,8,8,7,1
63,1,176,123,102,2,3,8.4,3399,3.7,0,3,7,4,1
20,1,183,131,110,4,6,7.8,3784,3.8,0,3,1,9,1
52,0,155,71,56,4,5,7.3,2383,2.0,1,6,7,8,1
